stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
10101,50824,"Rainbow Boulevard & Hampton Inn",,43.083440,-79.056682,1,0
10105,49620,"South Park Avenue & Bayview Road",,42.765138,-78.824282,1,0
10123,36040,"Portage Road & Portage Rd Transpo Center",,43.099637,-79.052043,1,0
10124,58425,"Williams Road & Cayuga Drive",,43.093168,-78.941013,1,0
10125,58420,"Williams Road & Cayuga Drive",,43.092858,-78.940831,1,0
10126,28760,"Lindbergh Avenue & 60th Street",,43.083558,-78.995443,1,0
10129,29530,"Main Street & Ashland Avenue",,43.099268,-79.053403,1,0
10130,100,"Portage Road & Main Street",,43.101460,-79.051672,1,0
10151,40087,"Ontario Street & Kenmore Extension",,42.960769,-78.894243,1,0
10152,40083,"Ontario Street & Kenmore Extension",,42.960708,-78.894161,1,0
10153,8810,"Cleveland Drive & Briarcliff Road",,42.944968,-78.781091,1,0
10155,51245,"Sundridge Drive & Cascade Drive",,43.042327,-78.811172,1,0
10156,42855,"Pineview Drive & Commerce Drive",,43.029297,-78.801180,1,0
10157,51420,"Sweet Home Road & Ayrault Drive",,43.032208,-78.799312,1,0
10158,51425,"Sweet Home Road & Bucyrus Drive",,43.030128,-78.799202,1,0
10161,15050,"Elmwood Avenue & 130 South Elmwood",,42.888719,-78.879102,1,0
10202,33050,"McKinley Parkway & McKinley Mall",,42.783109,-78.808530,1,0
10205,31110,"Main Street & Pierce Avenue",,43.102049,-79.052172,1,0
10206,31420,"Main Street & Spruce Street",,43.097327,-79.054833,1,0
10207,31410,"Main Street & Spruce Street",,43.097308,-79.054593,1,0
10208,31145,"Main Street & Portage Road",,43.101709,-79.051971,1,0
10209,31081,"Main Street & Orchard Parkway",,43.100799,-79.052500,1,0
10210,30120,"Main Street & Elmwood Avenue",,43.098399,-79.054184,1,0
10211,30105,"Main Street & Elmwood Avenue",,43.098388,-79.053962,1,0
10212,29844,"Main Street & Chilton Avenue",,43.100059,-79.053213,1,0
10213,29842,"Main Street & Chilton Avenue",,43.099818,-79.053123,1,0
10214,29535,"Main Street & Ashland Avenue",,43.099268,-79.053704,1,0
10215,31080,"Main Street & Orchard Parkway",,43.101038,-79.052683,1,0
10216,19220,"French Road & Transit Road",,42.868060,-78.697192,1,0
10219,43296,"Portage Road & Elmwood Avenue",,43.098240,-79.050552,1,0
10220,43294,"Portage Road & Cedar Avenue",,43.096689,-79.049942,1,0
10221,43297,"Portage Road & Elmwood Avenue",,43.098448,-79.050832,1,0
10230,31652,"Goodyear Road & Bailey Avenue",,42.958508,-78.814931,1,0
10232,5495,"Broadway & Jackson Street",,42.900349,-78.786192,1,0
10233,5490,"Broadway & Jackson Street",,42.900209,-78.786414,1,0
10234,5866,"Broadway & Roland Street",,42.900028,-78.789123,1,0
10235,5864,"Broadway & Roland Street",,42.899880,-78.789342,1,0
10236,5425,"Broadway & Griffith Street",,42.899729,-78.791722,1,0
10237,5420,"Broadway & Griffith Street",,42.899579,-78.791940,1,0
10238,50809,"Spindrift Drive & Wehrle Drive",,42.956998,-78.714500,1,0
10239,31695,"Main Street & Youngs Road",,42.965959,-78.724732,1,0
10240,50804,"Spindrift Drive & Spring Meadow Drive",,42.958878,-78.714692,1,0
10241,50802,"Spindrift Drive & Spring Meadow Drive",,42.958700,-78.714491,1,0
10242,50808,"Spindrift Drive & Windsong Medical Park",,42.965408,-78.715813,1,0
10243,50806,"Spindrift Drive & Windsong Medical Park",,42.965230,-78.715642,1,0
